City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches(last 3hrs),Snow Inches(last 3hrs)
52,Ponta Do Sol,BR,2019-11-09 23:31:27,-20.63,-46.0,69.53,89,90,5.32,light rain,2.63,0.0
53,Castro,CL,2019-11-09 23:31:27,-42.48,-73.76,53.6,87,100,5.82,light rain,0.0,0.0
54,Varhaug,NO,2019-11-09 23:31:27,58.61,5.65,36.0,80,40,2.24,scattered clouds,0.0,0.0
55,Hermanus,ZA,2019-11-09 23:29:49,-34.42,19.24,64.0,85,82,11.99,broken clouds,0.0,0.0
56,Makurdi,NG,2019-11-09 23:31:27,7.73,8.54,79.92,60,87,4.25,overcast clouds,0.0,0.0
57,Pisco,PE,2019-11-09 23:31:04,-13.71,-76.2,71.6,30,26,16.11,scattered clouds,0.0,0.0
58,Sibiti,CG,2019-11-09 23:31:28,-3.69,13.35,70.48,97,93,1.57,light rain,0.88,0.0
59,Kearney,US,2019-11-09 23:27:25,40.7,-99.08,71.6,19,1,6.93,clear sky,0.0,0.0
60,Puerto Ayacucho,CO,2019-11-09 23:31:31,5.66,-67.63,82.4,78,40,6.93,thunderstorm,0.0,0.0
61,Keti Bandar,PK,2019-11-09 23:31:31,24.14,67.45,71.2,34,14,11.92,few clouds,0.0,0.0
62,Cidreira,BR,2019-11-09 23:31:31,-30.17,-50.22,71.02,87,100,22.44,overcast clouds,0.0,0.0
63,Havre-Saint-Pierre,CA,2019-11-09 23:31:32,50.23,-63.6,23.0,73,90,20.8,light snow,0.0,0.0
64,Grand Gaube,MU,2019-11-09 23:31:32,-20.01,57.66,70.0,94,20,5.82,few clouds,0.0,0.0
65,Mana,NG,2019-11-09 23:31:32,13.03,5.27,79.99,23,0,5.5,clear sky,0.0,0.0
66,Bathsheba,BB,2019-11-09 23:31:33,13.22,-59.52,78.8,88,40,23.04,shower rain,0.0,0.0
67,Katima Mulilo,NA,2019-11-09 23:31:33,-17.5,24.28,81.03,37,89,6.11,overcast clouds,0.0,0.0
68,Bambous Virieux,MU,2019-11-09 23:31:33,-20.34,57.76,70.0,94,20,5.82,few clouds,0.0,0.0
69,Vestmannaeyjar,IS,2019-11-09 23:31:33,63.44,-20.27,44.42,82,87,16.6,light rain,0.12,0.0
70,Impfondo,CD,2019-11-09 23:31:33,1.62,18.06,71.67,94,99,2.21,overcast clouds,0.0,0.0
71,New Norfolk,AU,2019-11-09 23:31:34,-42.78,147.06,62.01,41,40,19.46,scattered clouds,0.0,0.0
72,Airai,TL,2019-11-09 23:31:34,-8.93,125.41,81.25,31,36,7.52,scattered clouds,0.0,0.0
73,Grindavik,IS,2019-11-09 23:31:34,63.84,-22.43,41.0,86,75,3.36,light intensity drizzle rain,0.0,0.0
74,Governador Valadares,BR,2019-11-09 23:31:34,-18.85,-41.95,77.2,51,23,7.14,few clouds,0.0,0.0
75,Broome,GB,2019-11-09 23:31:35,52.47,1.45,44.01,87,73,8.05,broken clouds,0.0,0.0
76,Mount Gambier,AU,2019-11-09 23:31:35,-37.83,140.78,51.8,87,40,10.29,light intensity shower rain,0.0,0.0
77,Zhangye,CN,2019-11-09 23:31:35,38.94,100.46,33.57,28,0,3.94,clear sky,0.0,0.0
78,Carutapera,BR,2019-11-09 23:31:35,-1.2,-46.02,81.95,78,100,13.56,overcast clouds,0.0,0.0
79,Ouadda,CF,2019-11-09 23:31:36,8.07,22.4,68.83,47,59,2.82,broken clouds,0.0,0.0
80,San Cristobal,HN,2019-11-09 23:31:36,14.68,-86.92,67.24,92,42,6.35,light rain,1.56,0.0
81,Ponto Novo,BR,2019-11-09 23:31:36,-10.86,-40.13,77.67,61,25,17.22,scattered clouds,0.0,0.0
82,Izhevskoye,RU,2019-11-09 23:31:36,54.56,40.87,33.91,86,34,8.61,scattered clouds,0.0,0.0
83,Srivardhan,IN,2019-11-09 23:31:37,18.03,73.02,72.32,86,0,4.92,clear sky,0.0,0.0
84,Luderitz,NA,2019-11-09 23:31:37,-26.65,15.16,60.8,87,0,6.93,clear sky,0.0,0.0
85,Tasiilaq,GL,2019-11-09 23:31:37,65.61,-37.64,35.6,74,87,36.91,light rain,0.0,0.0
86,Caravelas,BR,2019-11-09 23:31:37,-17.73,-39.27,70.54,92,29,7.02,scattered clouds,0.0,0.0
87,Inhambane,MZ,2019-11-09 23:31:37,-23.87,35.38,74.08,80,93,11.72,light rain,0.19,0.0
88,Nokaneng,BW,2019-11-09 23:31:38,-19.66,22.19,79.3,46,74,2.26,light rain,1.75,0.0
89,Celestun,MX,2019-11-09 23:31:39,20.87,-90.4,80.28,79,27,20.07,scattered clouds,0.0,0.0
90,Cordeiro,BR,2019-11-09 23:31:39,-22.03,-42.36,67.98,98,100,1.61,moderate rain,4.87,0.0
91,Lompoc,US,2019-11-09 23:31:39,34.64,-120.46,78.01,72,1,12.75,clear sky,0.0,0.0
92,Nanortalik,GL,2019-11-09 23:31:39,60.14,-45.24,36.81,75,100,51.65,snow,0.0,7.13
