City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Saskylakh,RU,2019-11-05 19:56:17,71.97,114.09,-7.5,96,84,3.89
61,Comodoro Rivadavia,AR,2019-11-05 19:56:03,-45.87,-67.48,71.6,21,100,33.33
62,Kondopoga,RU,2019-11-05 19:56:18,62.21,34.27,26.6,63,100,6.71
63,Horsham,AU,2019-11-05 19:56:18,-36.71,142.2,54.34,81,7,10.76
64,Chihuahua,MX,2019-11-05 19:56:18,28.66,-106.08,80.01,38,40,3.36
65,Umea,SE,2019-11-05 19:56:18,63.83,20.26,24.8,85,90,6.93
66,Ahipara,NZ,2019-11-05 19:56:18,-35.17,173.16,63.0,100,100,2.98
67,Honningsvag,NO,2019-11-05 19:56:19,70.98,25.97,32.0,63,40,8.05
68,Wanning,AT,2019-11-05 19:56:19,48.64,13.53,45.0,93,75,3.36
69,Biak,ID,2019-11-05 19:56:19,-0.91,122.88,80.62,74,100,12.37
70,La Ciotat,FR,2019-11-05 19:56:19,43.17,5.6,59.0,66,20,18.34
71,Zhezkazgan,KZ,2019-11-05 19:56:20,47.8,67.71,31.01,54,93,8.19
72,Bredasdorp,ZA,2019-11-05 19:56:20,-34.53,20.04,62.6,63,89,6.93
73,Katangli,RU,2019-11-05 19:56:20,51.71,143.23,31.14,95,100,6.73
74,Ginda,IN,2019-11-05 19:56:21,30.69,78.49,49.32,60,0,4.23
75,Carnarvon,ZA,2019-11-05 19:56:21,-30.97,22.13,72.75,29,0,11.65
76,Hilo,US,2019-11-05 19:56:21,19.71,-155.08,82.4,65,1,3.36
77,Codrington,AU,2019-11-05 19:56:21,-28.95,153.24,57.0,87,0,2.24
78,Cabedelo,BR,2019-11-05 19:56:21,-6.97,-34.84,82.4,65,20,13.87
79,Vestmannaeyjar,IS,2019-11-05 19:56:21,63.44,-20.27,39.65,72,100,11.77
80,Bethel,US,2019-11-05 19:56:22,60.79,-161.76,26.6,92,90,26.51
81,Gat,SN,2019-11-05 19:56:22,14.69,-16.54,82.4,51,23,10.29
82,Chokurdakh,RU,2019-11-05 19:56:22,70.62,147.9,3.25,94,97,6.08
83,Tsarychanka,UA,2019-11-05 19:56:22,48.94,34.49,53.83,71,33,6.02
84,Belaya Gora,RU,2019-11-05 19:56:22,68.54,146.19,-1.97,98,96,2.51
85,Waipawa,NZ,2019-11-05 19:56:23,-39.94,176.59,61.0,61,100,5.99
86,Komsomolskiy,RU,2019-11-05 19:56:24,67.55,63.78,22.05,93,100,19.44
87,Hithadhoo,MV,2019-11-05 19:56:24,-0.6,73.08,81.63,73,68,6.93
88,Areosa,PT,2019-11-05 19:56:24,41.72,-8.86,57.99,87,40,5.82
89,Bandarbeyla,SO,2019-11-05 19:56:24,9.49,50.81,80.51,81,5,9.8
90,Lorengau,PG,2019-11-05 19:56:24,-2.02,147.27,83.26,72,98,18.92
91,Newtonmore,GB,2019-11-05 19:56:25,57.07,-4.12,37.99,100,40,2.24
92,Bluff,AU,2019-11-05 19:56:25,-23.58,149.07,66.51,26,38,9.4
93,San Andres,PH,2019-11-05 19:56:25,13.32,122.68,78.26,88,99,10.13
94,Polson,US,2019-11-05 19:56:25,47.69,-114.16,55.99,65,1,2.53
95,San Pedro,AR,2019-11-05 19:56:25,-33.68,-59.66,79.0,36,0,1.01
96,Palamos,ES,2019-11-05 19:56:26,41.85,3.13,54.0,81,96,1.12
97,Wilmington,US,2019-11-05 19:53:19,39.75,-75.55,63.0,44,1,4.7
98,Saint Anthony,US,2019-11-05 19:56:26,43.97,-111.68,54.0,42,1,10.29
99,Coahuayana,MX,2019-11-05 19:56:26,18.62,-100.35,87.3,57,0,1.86
100,Bosaso,SO,2019-11-05 19:56:26,11.28,49.18,82.02,78,0,10.71
101,Dingle,PH,2019-11-05 19:56:26,11.0,122.67,74.98,89,95,5.61
102,Noumea,NC,2019-11-05 19:56:27,-22.28,166.46,75.0,73,90,4.7
103,Mackenzie,CA,2019-11-05 19:56:27,55.34,-123.09,26.6,53,75,5.82
104,Baghdad,IQ,2019-11-05 19:52:12,33.3,44.38,64.4,48,0,5.82
105,Povenets,RU,2019-11-05 19:56:27,62.85,34.83,18.05,75,100,7.14
106,Airai,TL,2019-11-05 19:56:27,-8.93,125.41,66.49,65,13,3.4
107,Norman Wells,CA,2019-11-05 19:56:28,65.28,-126.83,14.0,85,75,9.17
108,Lavrentiya,RU,2019-11-05 19:56:28,65.58,-170.99,24.12,85,9,10.54
109,Batsfjord,NO,2019-11-05 19:56:28,70.63,29.72,33.8,69,75,12.75
110,Felanitx,ES,2019-11-05 19:56:28,39.47,3.15,64.0,59,20,8.05
111,Georgetown,GY,2019-11-05 19:52:31,6.8,-58.16,86.0,79,20,9.17
112,Upernavik,GL,2019-11-05 19:56:29,72.79,-56.15,16.88,66,100,4.72
113,Naryan-Mar,RU,2019-11-05 19:56:29,67.67,53.09,24.01,97,98,6.62
114,Aripuana,BR,2019-11-05 19:56:30,-9.17,-60.63,89.01,56,100,2.68
115,Inhambane,MZ,2019-11-05 19:56:30,-23.87,35.38,73.47,86,0,8.57
116,Maragogi,BR,2019-11-05 19:56:30,-9.01,-35.22,78.37,75,8,14.76
117,Hermanus,ZA,2019-11-05 19:56:30,-34.42,19.24,64.0,88,69,17.09
118,Port Elizabeth,US,2019-11-05 19:56:30,39.31,-74.98,66.2,39,1,9.17
119,Lebu,ET,2019-11-05 19:56:31,8.96,38.73,60.8,55,20,13.87
120,Harper,US,2019-11-05 19:56:31,30.3,-99.24,75.0,68,90,8.05
121,Port Pirie,AU,2019-11-05 19:56:31,-33.18,138.01,55.4,62,0,8.05
122,Vao,EE,2019-11-05 19:56:32,59.1,26.19,33.84,82,100,12.1
123,Yeppoon,AU,2019-11-05 19:56:32,-23.13,150.74,60.8,29,32,5.97
124,Santa Cruz Del Sur,CU,2019-11-05 19:56:32,20.71,-78.0,84.56,68,0,7.34
125,Saint-Philippe,CA,2019-11-05 19:56:33,45.36,-73.48,48.2,87,90,10.29
126,Hunchun,CN,2019-11-05 19:56:33,42.86,130.36,26.76,58,0,2.84
127,Faya,SA,2019-11-05 19:56:33,18.39,42.45,66.2,27,0,9.17
128,Mopti,ML,2019-11-05 19:56:33,14.49,-4.19,85.48,17,37,6.69
129,Nishihara,JP,2019-11-05 19:56:33,35.74,139.53,55.99,62,20,9.17
130,Pevek,RU,2019-11-05 19:56:33,69.7,170.27,12.72,80,78,3.98
131,Mahebourg,MU,2019-11-05 19:56:34,-20.41,57.7,73.4,88,20,3.36
132,Jumla,NP,2019-11-05 19:56:34,29.28,82.18,36.5,48,0,5.37
133,Ingham,AU,2019-11-05 19:56:34,-18.65,146.16,73.85,72,12,0.96
134,Ambilobe,MG,2019-11-05 19:56:34,-13.19,49.05,79.07,65,100,12.17
135,Viterbo,IT,2019-11-05 19:56:34,42.42,12.1,64.4,77,20,19.46
136,Kaitangata,NZ,2019-11-05 19:56:35,-46.28,169.85,53.01,89,2,1.01
137,Lasa,CY,2019-11-05 19:56:35,34.92,32.53,68.0,68,0,8.05
138,Martigny,CH,2019-11-05 19:56:35,46.1,7.07,48.99,87,75,2.24
139,Yulara,AU,2019-11-05 19:56:35,-25.24,130.99,55.4,20,42,5.82
140,Narsaq,GL,2019-11-05 19:56:35,60.91,-46.05,41.0,52,75,12.75
141,Pombal,BR,2019-11-05 19:56:35,-6.77,-37.8,91.13,16,5,7.63
142,Victoria,BN,2019-11-05 19:56:36,5.28,115.24,77.0,88,90,4.7
143,Luangwa,MZ,2019-11-05 19:56:36,-15.62,30.4,82.92,33,0,10.45
144,Berlevag,NO,2019-11-05 19:54:17,70.86,29.09,33.8,73,75,6.93
145,Magadan,RU,2019-11-05 19:56:36,59.56,150.8,32.79,64,100,20.62
146,Tuatapere,NZ,2019-11-05 19:56:37,-46.13,167.69,54.0,84,1,1.99
147,San Diego De La Union,MX,2019-11-05 19:56:37,21.47,-100.87,78.01,47,10,4.0
148,Evensk,RU,2019-11-05 19:56:37,61.92,159.24,28.29,90,100,30.51
149,East London,ZA,2019-11-05 19:53:48,-33.02,27.91,69.49,91,100,8.14
150,Dunedin,NZ,2019-11-05 19:56:38,-45.87,170.5,53.01,79,100,7.0
151,Tual,ID,2019-11-05 19:56:38,-5.67,132.75,79.39,79,100,11.27
152,Balikpapan,ID,2019-11-05 19:56:41,-1.24,116.86,72.99,97,12,3.09
153,Henties Bay,NA,2019-11-05 19:56:41,-22.12,14.28,66.09,53,0,3.4
154,Bintulu,MY,2019-11-05 19:56:41,3.17,113.03,75.2,94,90,0.87
155,Pochutla,MX,2019-11-05 19:56:42,15.74,-96.47,91.0,62,20,6.38
156,Coihaique,CL,2019-11-05 19:56:42,-45.58,-72.07,57.2,47,40,11.41
157,Morondava,MG,2019-11-05 19:56:42,-20.3,44.28,74.7,72,1,2.53
158,Kodiak,US,2019-11-05 19:56:42,39.95,-94.76,54.0,46,1,3.36
159,Maniitsoq,GL,2019-11-05 19:56:43,65.42,-52.9,33.01,60,98,1.48
160,Bodaybo,RU,2019-11-05 19:56:43,57.85,114.2,-3.61,98,99,2.68
161,Sorong,ID,2019-11-05 19:56:43,-0.86,131.25,72.16,99,99,2.08
162,Orasac,RS,2019-11-05 19:56:43,43.06,22.07,68.0,42,81,6.93
163,Puerto Madryn,AR,2019-11-05 19:56:02,-42.77,-65.04,76.55,19,0,26.22
164,Hobart,AU,2019-11-05 19:56:44,-42.88,147.33,52.0,57,20,10.29
165,Haines Junction,CA,2019-11-05 19:56:44,60.75,-137.51,12.2,88,100,2.82
166,Vila Franca Do Campo,PT,2019-11-05 19:56:44,37.72,-25.43,62.6,63,75,5.82
167,Santiago Del Estero,AR,2019-11-05 19:56:45,-27.8,-64.26,81.21,49,65,8.81
168,Coquimbo,CL,2019-11-05 19:56:45,-29.95,-71.34,60.8,72,20,13.87
169,Bonavista,CA,2019-11-05 19:56:45,48.65,-53.11,43.0,65,0,1.99
170,Mitsamiouli,KM,2019-11-05 19:56:45,-11.38,43.28,80.46,81,33,11.77
171,Jiayuguan,CN,2019-11-05 19:56:45,39.77,98.29,37.35,48,72,1.23
172,Mnogovershinnyy,RU,2019-11-05 19:56:46,53.94,139.92,27.27,98,100,6.06
173,Kavaratti,IN,2019-11-05 19:56:46,10.57,72.64,80.96,82,11,13.0
174,Velikiy Novgorod,RU,2019-11-05 19:53:43,58.52,31.28,32.95,97,100,9.15
175,Ust-Uda,RU,2019-11-05 19:56:46,54.17,103.03,19.29,79,100,1.88
176,Davila,PH,2019-11-05 19:56:47,18.47,120.58,79.92,80,100,27.92
177,Aklavik,CA,2019-11-05 19:56:47,68.22,-135.01,6.8,84,40,3.36
178,Karratha,AU,2019-11-05 19:56:47,-20.74,116.85,79.12,48,58,10.09
179,Faanui,PF,2019-11-05 19:56:47,-16.48,-151.75,81.01,72,14,7.49
180,Ormara,PK,2019-11-05 19:56:47,25.21,64.64,83.07,66,1,12.93
181,Dawei,MM,2019-11-05 19:56:48,14.07,98.19,80.35,80,83,9.8
182,Nikolskoye,RU,2019-11-05 19:56:48,59.7,30.79,35.01,86,75,13.42
183,San Juan,AR,2019-11-05 19:56:48,-31.54,-68.53,81.72,20,0,7.29
184,Mogadishu,SO,2019-11-05 19:56:48,2.04,45.34,80.76,79,100,11.7
185,Shu,KZ,2019-11-05 19:56:49,43.6,73.76,30.61,75,11,1.19
186,Rio Tuba,PH,2019-11-05 19:56:49,8.51,117.43,81.95,79,100,23.35
187,Mundo Nuevo,CL,2019-11-05 19:56:50,-32.72,-71.41,75.2,49,0,12.75
188,Acapulco,MX,2019-11-05 19:55:30,16.86,-99.88,87.8,70,20,5.82
189,Troitskoye,RU,2019-11-05 19:56:51,52.98,84.68,30.58,85,1,5.26
190,Rosetta,EG,2019-11-05 19:56:51,31.4,30.42,73.4,69,40,9.17
191,Hualmay,PE,2019-11-05 19:56:51,-11.1,-77.61,69.28,64,1,8.66
192,Krasnyy Chikoy,RU,2019-11-05 19:56:52,50.36,108.75,18.28,93,63,4.56
193,Kloulklubed,PW,2019-11-05 19:56:52,7.04,134.26,75.2,88,90,12.75
194,Camargo,MX,2019-11-05 19:56:52,27.69,-105.17,81.36,32,0,5.95
195,Altar,MX,2019-11-05 19:56:52,30.72,-111.84,86.0,22,95,5.01
196,Edd,ER,2019-11-05 19:56:52,13.93,41.69,84.56,52,0,8.68
197,Miragoane,HT,2019-11-05 19:56:53,18.44,-73.09,81.64,68,0,3.15
198,Chuy,UY,2019-11-05 19:56:53,-33.69,-53.46,62.6,62,0,8.34
199,Phan Thiet,VN,2019-11-05 19:56:53,10.93,108.1,72.64,92,100,3.47
200,Saint-Georges,CA,2019-11-05 19:55:45,46.12,-70.67,45.0,7,100,3.0
201,Saldanha,PT,2019-11-05 19:56:54,41.42,-6.55,46.2,86,0,10.16
202,Tahoua,NE,2019-11-05 19:56:54,14.89,5.26,85.06,13,0,5.77
